"Response ID","Date submitted","Last page","Start language","Seed","Please specify your field of study","Please select your gender","Please enter your age in years","Please specify the languages you speak [English]","Please specify the languages you speak [German]","Please specify the languages you speak [Other]","How much knowledge do you have in the field of (overlapping) community detection?    ","Have you already participated in the last evaluation of the table visualization?","Please state the author(s) who wrote a paper in the field of gezeichnete Netzwerke (signed networks) using Evolutionäre Algorihmen (evolutionary algorithms):","Please state the year in which this/these paper(s) was published:","Please answer the following questions concerning the difficulty of the task [How mentally demanding was the task? ]","Please answer the following questions concerning the difficulty of the task [How physically demanding was the task? ]","Please answer the following questions concerning the difficulty of the task [How hurried or rushed was the pace of the task?]","Please answer the following questions concerning the difficulty of the task [How successful do you think you were in accomplishing the task?]","Please answer the following questions concerning the difficulty of the task [How hard did you have to work for your performance? ]","Please answer the following questions concerning the difficulty of the task [How discouraged and stressed were you during the task?]","Please insert the doi of the paper which introduces a Cliquen-basierte Algorithmen (clique-based algorithm) used in Gen/Metabolismus-Netzwerke (Gene/metabolism networks)?","Please answer the following questions concerning the difficulty of the task [How mentally demanding was the task? 	]","Please answer the following questions concerning the difficulty of the task [How physically demanding was the task?]","Please answer the following questions concerning the difficulty of the task [ How hurried or rushed was the pace of the task? ]","Please answer the following questions concerning the difficulty of the task [ How successful do you think you were in accomplishing the task? ]","Please answer the following questions concerning the difficulty of the task [ How hard did you have to work for your performance? ]","Please answer the following questions concerning the difficulty of the task [ How discouraged and stressed were you during the task? ]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [earliest released paper - 1 ]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [2]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [3]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [4]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [5]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [6]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [7]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [8]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [9]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [10]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [11]","In this question, you will have to do a little research for further information on the papers.  Please order the entries of Random Walk Algorithmen in chronological order starting with the earlies paper? (If two papers where released in the same year, take also the month and day into account.)  Keep in mind that some papers might appear more than once.  You can insert the papers as displayed in the cell of the table: (Author et al., 2020)  [most recent paper - 12]","Please answer the following questions concerning the difficulty of the task     [How mentally demanding was the task?]","Please answer the following questions concerning the difficulty of the task     [How physically demanding was the task? ]","Please answer the following questions concerning the difficulty of the task     [How hurried or rushed was the pace of the task? ]","Please answer the following questions concerning the difficulty of the task     [How successful do you think you were in accomplishing the task?]","Please answer the following questions concerning the difficulty of the task     [How hard did you have to work for your performance?]","Please answer the following questions concerning the difficulty of the task     [How discouraged and stressed were you during the task? ]","Please answer the following questions concerning the handling of the table  [ I think that I would like to use the table visualization frequently ]","Please answer the following questions concerning the handling of the table  [ I found the visualization as a table unnecessarily complex ]","Please answer the following questions concerning the handling of the table  [ I thought the table visualization was easy to use ]","Please answer the following questions concerning the handling of the table  [ I think that I would need the support of an experienced person to be able to use the table ]","Please answer the following questions concerning the handling of the table  [ I found the functions in this table visualization were well integrated ]","Please answer the following questions concerning the handling of the table  [ I thought there was too much inconsistency in the table visualization ]","Please answer the following questions concerning the handling of the table  [ I would imagine that most people would learn to use the table visualization very quickly ]","Please answer the following questions concerning the handling of the table  [ I found the table visualization very cumbersome to use ]","Please answer the following questions concerning the handling of the table  [ I felt very confident using the table visualization ]","Please answer the following questions concerning the handling of the table  [ I needed to learn a lot of things before I could get going with this table visualization ]","Have you encountered any problems during used of the table visualization?","What could have been done better?","Additional Comments"
"8","1980-01-01 00:00:00","6","en","342464037","Computer Science","Male","23","Yes","Yes","No","No knowledge","No","Q. Cai, L. Ma, D. Tian","2016","3","Very Low - 1","4","20","2","2","https://doi.org/10.1093/bioinformatics/btl039","3","3","3","20","2","2","(Rosvall & Bergstrom, 2011)","(Jin et al., 2011)","(Cai et al., 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Sarantopoulous et al., 2019)","(Bai et al., 2019)","(Tshimula et al., 2019)","11","3","7","15","12","12","Agree","Agree","Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Agree","Agree","Disagree","","",""
"9","","3","en","482354481","","","","No","No","No","","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","3","en","489854931","","","","No","No","No","","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","1980-01-01 00:00:00","6","en","801324210","Computer Science","Male","27","Yes","Yes","Yes","Advanced knowledge","No","Cai et al.","2016","3","3","Very Low - 1","Very High - 21","10","Very Low - 1","https://doi.org/10.1093/bioinformatics/btl039","10","4","Very Low - 1","Very High - 21","10","Very Low - 1","Cai et al 2011","Jin et al 2011","Rosvall & Bergstrom 2011","Tabrizi et al 2013","Lambiotte 2014","ROsvall 2014","Gleich & Kloster 2016","Keikha 2018","Palash 2018","Bei 2019","Sarantopoulos 2019","Tshimula 2019","Very High - 21","Very High - 21","Very Low - 1","16","18","Very Low - 1","Strongly Agree","Disagree","Strongly Agree","Neutral","Strongly Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Disagree","No.","The two scrollbars - of the page and of the table are hard to use when you don't have a way of scrolling with gestures (i.e. on a multitouch trackpad or with middle mouse button click). You often have to work both independently to reach the desired content. Would there be a way to combine the two into one scrollbar? that it's the page that scrolls both the content and the table?","Good Job :)"
"12","1980-01-01 00:00:00","6","en","136506139","Computer Science","Male","24","No","Yes","No","No knowledge","Yes","Cai, Q., Ma, L., Gong, M., & Tian, D.","2016","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","https://doi.org/10.1093/bioinformatics/btl039","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","(Rosvall & Bergstrom, 2011)","(Jin et al., 2011)","(Cai et al., 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Bai et al., 2019)","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","5","10","5","15","10","5","Disagree","Agree","Agree","Strongly Disagree","Neutral","Disagree","Agree","Disagree","Agree","Strongly Disagree","","",""
"13","1980-01-01 00:00:00","6","en","1411800307","Computer Science","Male","24","Yes","Yes","No","Basic knowledge","Yes","Cai, Q., Ma, L., Gong, M., & Tian, D.","2016","4","2","2","Very High - 21","6","3","https://doi.org/10.1093/bioinformatics/btl039","4","2","2","Very High - 21","5","3","(Rosvall & Bergstrom, 2011)","(Jin et al., 2011)","(Cai et al., 2011)","(A. Tabrizi et al., 2013)","(Rosvall et al., 2014)","(Lambiotte et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Bai et al., 2019)","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","10","5","3","18","17","8","Agree","Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","No","The table does not make use of the entire screen width. If you look at it with a PC monitor, there is quite a lot of whitespace on the left and right that could have been used. Instead, more scrolling inside of the table is necessary. It also creates the need to scroll sideways more which is always a bit cumbersome as there is no mouse wheel for this action.

It is also a bit unintuitive to scroll the panel with the table inside of the scrollable page. Depending on the mouse position, you either scroll the entire page (but not the table) or you only scroll the table. At some point when scrolling down with the mouse inside the table's panel, the table reaches its end and you suddently start scrolling the entire page. This action cannot immediately be undone because simply scrolling up will not scroll the page back up but the table. Instead, you have to move the mouse out of the table and then scroll up to have the table in full view again.

The list of references could be formatted better, e.g. by making the enumerators bold or introducing gaps in-between two entries. At the moment, the reference list is a wall of text where it is quite difficult to distinguish where one entry ends and another one begins. This effect is strengthened by the Roman numbers which do not stick out among the rest of the letters, e.g. abbreviated names. An enumeration with bold Arabic numerals and a slight gap between entries could help making the literature list clearer.","Despite the strangeness of the scrollable panel in which the table is placed, it now has fixed headers that stay visible while scrolling. This is a large improvement regarding usability as you always see the headings of each row and column. If I had to choose, I would prioritize the visibility of the table and row headings over easier scrolling as I am able to accustom to the scrolling - you just have to pay attention where you put your mouse cursor while scrolling. In this regard, I would say that this version is better than the one of the first evaluation.

It is really helpful that the dois are now clickable as this really eases the effort to look up further information about the paper, e.g. its publication date. You can simply click on it and do not have to copy paste it.

The meaning of the row's and column's headings is now also clear because of the cell in the left top which now describes the row and column categories.

It would maybe be worth having an optional ""fullscreen"" button which leads to a web page that only contains the table and nothing else. This way, you can leverage the entire screen's space and let the user explore it in detail. If you click on one of the reference links, it takes you back to the reference list.

Overall, this iteration is definitely an improvement compared to the version of the first evaluation."
"14","1980-01-01 00:00:00","6","en","1080324618","Computer Science","Male","23","Yes","Yes","Yes","Basic knowledge","Yes","Cai et al.","2016","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","https://doi.org/10.1093/bioinformatics/btl039","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","4","(Cai et al., 2011)","(Jin et al., 2011)","(Rosvall & Bergstrom, 2011)	","(A. Tabrizi et al., 2013)","(Rosvall et al., 2014)","(Lambiotte et al., 2014)","(Gleich & Kloster, 2016)","(Palash Goyal, 2018)","(Keikha et al., 2018)	","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","(Bai et al., 2019) ","10","10","15","10","19","19","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Agree","Neutral","Strongly Disagree","no","the ability to sort rows and columns by name.
maybe a search bar to filter by keywords both for anwendungsfelder and algorithmentypen or by year author...","Overall cumbersome to use especially the last task. The last task was the same as last evaluation yet I did not see any improvements so I was wondering what would be the point to do it again. overall I think the visualization as a table is not very useful for many entries, especially the horizontal scrollbar is unintuitive to most users. "
"15","1980-01-01 00:00:00","6","en","2078427048","Computer Science","Male","22","Yes","Yes","Yes","Basic knowledge","Yes","Cai, Q., Ma, L., Gong, M., & Tian, D.","2016","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","https://doi.org/10.1093/bioinformatics/btl039","Very Low - 1","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","Jin et al., 2011","Rosvall & Bergstrom, 2011","Cai et al., 2011","A. Tabrizi et al., 2013","Lambiotte et al., 2014","Rosvall et al., 2014","Gleich & Kloster, 2016","Keikha et al., 2018","Palash Goyal, 2018","Bai et al., 2019","Tshimula et al., 2019","Sarantopoulos et al., 2019","Very High - 21","16","5","Very High - 21","Very High - 21","2","Disagree","Neutral","Agree","Strongly Disagree","Neutral","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","","When opening the references in another tab, the red square which normally surrounds the reference does not appear. 
I sometimes was not sure whether I could continue scrolling the task bar horizontally or not, as it was glued to the bottom of the table. It would be nice if the bottom task bar would also follow the user's current position. ",""
"16","1980-01-01 00:00:00","6","en","420456457","Computer Science","Male","24","Yes","Yes","Yes","Advanced knowledge","Yes","Cai, Q., Ma, L., Gong, M., & Tian, D.","2016","2","Very Low - 1","Very Low - 1","Very High - 21","2","Very Low - 1","doi.org/10.1093/bioinformatics/btl039","2","Very Low - 1","Very Low - 1","Very High - 21","Very Low - 1","Very Low - 1","(Jin et al., 2011)","(Rosvall & Bergstrom, 2011)","(Cai et al., 2011)","(A. Tabrizi et al., 2013)","(Lambiotte et al., 2014)","(Rosvall et al., 2014)","(Gleich & Kloster, 2016)","(Keikha et al., 2018)","(Palash Goyal, 2018)","(Bai et al., 2019)","(Tshimula et al., 2019)","(Sarantopoulos et al., 2019)","5","Very Low - 1","Very Low - 1","19","Very Low - 1","Very Low - 1","Neutral","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Disagree","Agree","Strongly Disagree","","",""
"17","","","en","1168980613","","","","N/A","N/A","N/A","","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
